account_id,branch_ID,frequency,creation_date
1001,101,Monthly,20200101
1002,102,Quarterly,20200401
1003,103,Annually,20200101
1004,101,Monthly,20210301
1005,102,Quarterly,20210701
1006,103,Annually,20210101
1007,101,Monthly,20220201
1008,102,Quarterly,20220501
1009,103,Annually,20220101
1010,101,Monthly,20230101
1011,102,Quarterly,20231001
1012,103,Annually,20230101
1013,101,Monthly,20200201
1014,102,Quarterly,20200501
1015,103,Annually,20200101
1016,101,Monthly,20210401
1017,102,Quarterly,20210101
1018,103,Annually,20210101
1019,101,Monthly,20220301
1020,102,Quarterly,20221201